SortChem_#,Site,Date,Rounded Depth (m),Hydrolab Depth,Time_hr_dst,IBVSvr4a_V,Temp_C,Cond_uS,pH,DO_Sat,DO_mg/l,DO_umoles/L,Chl_V,Chl_ug/l,PAR_uEm2s,refPAR_uEm2s,Hydrolab,Secchi_m,Notes
2012-2174,Perched Lake,23-Jul-12,1,0.98,12:46,7.2,15.14,49.40,8.02,109,10.01,.,0.01,1.10,111,.,.,1.5,
,Perched Lake,23-Jul-12,2,2.02,12:48,7.2,14.84,48.20,8.01,108.5,10.03,.,0.02,1.17,64,.,.,1.5,
,Perched Lake,23-Jul-12,3,2.98,12:49,7.2,14.47,46.10,7.95,107.1,9.98,.,0.02,1.30,50,.,.,1.5,
,Perched Lake,23-Jul-12,4,3.99,12:50,7.2,13.62,45.60,7.62,106.3,10.09,.,0.02,1.56,36,.,.,1.5,
,Perched Lake,23-Jul-12,5,5,12:52,7.2,11.58,45.50,6.98,101.3,10.06,.,0.02,1.98,37,.,.,1.5,
,Perched Lake,23-Jul-12,6,6,12:54,7.1,8.22,46.00,6.73,78.9,8.49,.,0.03,2.39,26,.,.,1.5,
,Perched Lake,23-Jul-12,7,7,12:55,7.1,6.66,46.40,6.58,60.4,6.76,.,0.04,3.33,24,.,.,1.5,
2012-2175,Perched Lake,23-Jul-12,8,8.03,12:58,7.1,6.21,46.90,6.52,49.3,5.57,.,0.03,2.55,41,.,.,1.5,
,Perched Lake,23-Jul-12,9,9.02,13:02,7.1,6.09,47.10,6.51,46.1,5.23,.,0.03,2.49,49,.,.,1.5,
,Perched Lake,23-Jul-12,10,9.99,13:03,7.1,5.87,47.40,6.49,41.7,4.75,.,0.02,2.00,48,.,.,1.5,
,Perched Lake,23-Jul-12,11,11,13:04,7.1,5.81,47.60,6.49,39.4,4.5,.,0.02,2.05,45,.,.,1.5,
,Perched Lake,23-Jul-12,12,12,13:06,7.1,5.75,47.50,6.47,37.7,4.31,.,0.25,2.17,,.,.,1.5,
,Shasta Lake,23-Jul-12,0,0.04,14:40,7.1,15.18,12.20,6.65,103.1,9.45,.,0.04,3.51,587,.,.,4.5,
,Shasta Lake,23-Jul-12,0.5,0.53,14:42,7.1,15.13,11.20,6.66,103.5,9.5,.,0.04,4.15,380,.,.,4.5,
2012-2170,Shasta Lake,23-Jul-12,1,1.02,14:44,7.1,14.89,10.80,6.69,103.4,9.54,.,0.05,4.81,111,.,.,4.5,
,Shasta Lake,23-Jul-12,2,2,14:45,7.1,14.47,10.20,6.59,100.3,9.34,.,0.05,5.24,91,.,.,4.5,
,Shasta Lake,23-Jul-12,3,2.99,14:47,7.1,12.21,10.30,6.32,88.5,8.67,.,0.05,4.75,64,.,.,4.5,
,Shasta Lake,23-Jul-12,4,3.99,14:49,7.1,7.04,45.90,6.31,1.7,0.18,.,0.04,4.28,64,.,.,4.5,
,Shasta Lake,23-Jul-12,5,4.98,14:50,7.1,3.55,67.60,6.4,0.4,0.05,.,0.04,4.00,50,.,.,4.5,
,Shasta Lake,23-Jul-12,6,5.98,14:51,7.1,3.09,74.80,6.43,0.2,0.03,.,0.04,4.05,42,.,.,4.5,
,Shasta Lake,23-Jul-12,7,7.02,.,.,2.92,77.30,6.43,0.2,0.02,.,0.04,4.08,38,.,.,4.5,Values for this depth not saved to Surveyor. I used values recorded in Field Book.
2012-2171,Shasta Lake,23-Jul-12,8,8.03,14:54,7.1,2.85,79.90,6.45,0.2,0.03,.,0.04,4.19,34,.,.,4.5,
,Shasta Lake,23-Jul-12,9,8.99,14:55,7.1,2.76,81.30,6.46,0.2,0.03,.,0.04,4.17,,.,.,4.5,
,Shasta Lake,23-Jul-12,10,9.99,14:55,7.1,2.7,83.00,6.46,0.2,0.02,.,0.04,4.16,,.,.,4.5,
,Shasta Lake,23-Jul-12,11,11,.,.,2.66,83.80,6.46,0.2,0.02,.,0.04,4.14,,.,.,4.5,
2012-0339,E5,25-Jul-12,0.01,0.02,13:18,7.1,14.13,12.90,6.87,103.8,9.74,.,0.02,2.07,810,.,.,2.5,
,E5,25-Jul-12,0.5,0.5,13:19,7.1,14.11,11.50,6.81,103.8,9.74,.,0.03,2.19,385,.,.,2.5,
2012-0340,E5,25-Jul-12,1,0.97,13:21,7.1,14.06,11.40,6.81,103.7,9.74,.,0.04,3.76,264,.,.,2.5,
,E5,25-Jul-12,2,2,13:23,7.1,13.9,11.00,6.85,103.6,9.77,.,0.05,4.87,134,.,.,2.5,
2012-0341,E5,25-Jul-12,3,2.98,13:24,7,12.84,10.80,6.71,100.5,9.7,.,0.06,5.26,72,.,.,2.5,
,E5,25-Jul-12,4,4.01,13:26,7,10.88,10.80,6.16,82.6,8.35,.,0.06,5.63,46,.,.,2.5,
2012-0342,E5,25-Jul-12,5,4.98,13:28,7,7.68,11.60,5.92,59.7,6.51,.,0.05,5.15,28,.,.,2.5,
,E5,25-Jul-12,6,6.03,13:29,7,6.61,11.60,5.88,51.9,5.81,.,0.04,4.21,23,.,.,2.5,
,E5,25-Jul-12,7,6.98,13:33,7,6.18,11.60,5.86,48.2,5.46,.,0.03,3.03,20,.,.,2.5,
2012-0343,E5,25-Jul-12,8,8,13:35,7,5.99,11.80,5.86,45.6,5.19,.,0.03,2.86,18,.,.,2.5,
,E5,25-Jul-12,9,9,13:37,6.8,5.73,12.00,5.83,41.3,4.73,.,0.04,3.32,,.,.,2.5,
2012-0344,E5,25-Jul-12,10,10.01,13:38,6.8,5.7,12.00,5.86,40.1,4.6,.,0.03,3.09,,.,.,2.5,
,E5,25-Jul-12,11,10.99,13:39,6.8,5.62,11.90,5.86,38.6,4.43,.,0.03,3.18,,.,.,2.5,
2012-0345,E6,25-Jul-12,0.01,0.01,15:13,7,14.75,14.00,6.82,102,9.45,.,0.02,2.11,545,.,.,>Xm,"X = 2.7, Secchi hit bottom at 2.7m"
,E6,25-Jul-12,0.5,0.52,15:14,7,14.61,12.90,6.77,101.6,9.44,.,0.03,2.48,216,.,.,.,.
2012-0346,E6,25-Jul-12,1,1,15:15,7,14.41,12.30,6.73,101.1,9.43,.,0.03,2.74,95,.,.,>Xm,"X = 2.7, Secchi hit bottom at 2.7m"
2012-0347,E6,25-Jul-12,2,2,15:17,7,13.49,11.60,6.62,98.9,9.41,.,0.05,4.32,58,.,.,>Xm,"X = 2.7, Secchi hit bottom at 2.7m"
,NE14,26-Jul-12,0,0,12:50,7,14.31,181.30,8.12,103.7,9.73,.,0.01,0.28,375,.,.,.,
,NE14,26-Jul-12,1,1.01,12:52,6.9,14.32,173.00,8.11,103.5,9.71,.,0.01,0.29,224,.,.,.,
,NE14,26-Jul-12,2,2.01,12:53,6.9,14.29,170.40,8.12,103.6,9.72,.,0.01,0.26,162,.,.,.,
,NE14,26-Jul-12,3,2.99,12:54,6.9,14.28,166.30,8.11,103.5,9.72,.,0.01,0.36,217,.,.,.,
,NE14,26-Jul-12,4,4,12:55,6.9,14.23,165.50,8.11,103.3,9.71,.,0.01,0.34,189,.,.,.,
,NE14,26-Jul-12,5,5.02,12:56,6.9,13.94,165.90,8.1,103.4,9.78,.,0.01,0.39,162,.,.,.,
,NE14,26-Jul-12,6,6,12:58,6.9,12.61,168.40,8.04,107.8,10.5,.,0.01,0.45,144,.,.,.,
,NE14,26-Jul-12,7,7.01,12:59,6.9,9.63,181.20,7.83,115.4,12.05,.,0.01,0.45,137,.,.,.,
,NE14,26-Jul-12,8,8,13:00,6.9,8.4,183.00,7.8,112,12.04,.,0.01,0.43,121,.,.,.,
,NE14,26-Jul-12,9,9,13:02,6.9,8.06,183.60,7.78,110.1,11.95,.,0.01,0.51,121,.,.,.,
,NE14,26-Jul-12,10,9.99,13:03,6.9,7.83,184.10,7.76,108.4,11.82,.,0.01,0.64,101,.,.,.,
,NE14,26-Jul-12,11,11.01,13:04,6.9,7.17,184.70,7.74,106.1,11.76,.,0.01,0.90,82,.,.,.,
,NE14,26-Jul-12,12,12,13:06,6.9,6.61,186.90,7.7,103.3,11.61,.,0.01,0.94,77,.,.,.,
,NE14,26-Jul-12,13,13,13:07,6.9,6.06,189.90,7.62,98,11.17,.,0.02,1.26,67,.,.,.,
,NE14,26-Jul-12,14,14,13:09,6.9,5.62,192.20,7.54,93,10.73,.,0.02,1.65,63,.,.,.,
,NE14,26-Jul-12,15,15,13:10,6.8,5.28,193.00,7.47,88.2,10.25,.,0.03,2.21,53,.,.,.,
,NE14,26-Jul-12,16,15.99,13:11,6.8,5.14,193.70,7.44,84.5,9.86,.,0.03,2.82,48,.,.,.,
,NE14,26-Jul-12,17,17,13:13,6.8,5.07,194.10,7.42,83,9.71,.,0.04,3.39,49,.,.,.,
,NE14,26-Jul-12,18,18.01,13:14,6.8,5.03,194.20,7.4,81.7,9.57,.,0.04,4.02,45,.,.,.,
,NE14,26-Jul-12,19,18.99,13:15,6.8,5.01,194.30,7.39,80.6,9.44,.,0.05,4.32,,.,.,.,
2012-0356,Toolik,27-Jul-12,0,0,12:29,7.9,14.85,81.30,7.78,103.8,9.63,.,0.01,0.92,292,.,.,4.5,
,Toolik,27-Jul-12,0.5,0.51,12:32,7.8,14.79,79.40,7.77,103.9,9.65,.,0.01,1.01,89,.,.,4.5,
2012-0357,Toolik,27-Jul-12,1,0.99,12:32,7.8,14.76,78.70,7.78,104.1,9.67,.,0.01,1.04,60,.,.,4.5,
,Toolik,27-Jul-12,2,2.01,12:34,7.8,14.7,74.70,7.77,103.9,9.67,.,0.01,1.13,39,.,.,4.5,
2012-0358,Toolik,27-Jul-12,3,2.99,12:35,7.8,14.63,71.90,7.77,103.7,9.66,.,0.01,1.11,78,.,.,4.5,
,Toolik,27-Jul-12,4,4.01,12:36,7.8,13.93,69.80,7.69,103.4,9.79,.,0.02,1.51,49,.,.,4.5,
2012-0359,Toolik,27-Jul-12,5,4.99,12:37,7.8,13.19,69.30,7.61,101.9,9.81,.,0.02,1.59,31,.,.,4.5,
,Toolik,27-Jul-12,6,6,12:39,7.7,12.42,69.10,7.52,99.7,9.77,.,0.02,1.96,18,.,.,4.5,
,Toolik,27-Jul-12,7,7.01,12:40,7.7,9.78,69.80,7.21,95.8,9.98,.,0.03,2.76,13,.,.,4.5,
2012-0360,Toolik,27-Jul-12,8,8.01,12:42,7.7,7.24,70.30,7.04,88.7,9.82,.,0.04,3.71,3,.,.,4.5,
,Toolik,27-Jul-12,9,8.97,12:43,7.7,6.61,70.40,6.98,84.2,9.47,.,0.04,3.52,1,.,.,4.5,
,Toolik,27-Jul-12,10,9.99,12:44,7.7,6.27,70.60,6.93,81.8,9.28,.,0.04,3.33,,,.,4.5,
,Toolik,27-Jul-12,11,11,12:45,7.7,6.01,70.90,6.92,79.8,9.11,.,0.03,2.93,,,.,4.5,
2012-0361,Toolik,27-Jul-12,12,11.99,12:46,7.7,5.64,71.20,6.88,77.2,8.9,.,0.03,2.34,,,.,4.5,
,Toolik,27-Jul-12,13,12.99,12:47,7.7,5.51,71.40,6.87,76.2,8.81,.,0.02,2.08,,,.,4.5,
,Toolik,27-Jul-12,14,14.02,12:48,7.7,5.35,71.40,6.86,74.2,8.62,.,0.02,1.84,,,.,4.5,
,Toolik,27-Jul-12,15,14.99,12:50,7.7,5.24,71.50,6.84,73,8.5,.,0.02,1.74,,,.,4.5,
2012-0362,Toolik,27-Jul-12,16,16.01,12:51,7.6,5.12,72.10,6.83,71.7,8.37,.,0.02,1.56,,,.,4.5,
,Toolik,27-Jul-12,17,16.98,12:52,7.6,5.06,72.10,6.82,71,8.3,.,0.02,1.51,,,.,4.5,
,Toolik,27-Jul-12,18,18,12:53,7.6,5.03,72.00,6.81,70.1,8.21,.,0.02,1.46,,,.,4.5,
,Toolik,27-Jul-12,19,19.01,12:54,7.6,4.99,71.90,6.8,69.3,8.13,.,0.02,1.57,,,.,4.5,
2012-0363,Toolik,27-Jul-12,20,19.96,12:55,7.6,4.98,71.90,6.8,69.3,8.13,.,0.02,1.45,,,.,4.5,
,Toolik,27-Jul-12,21,20.97,12:56,7.6,4.95,71.40,6.79,68,7.98,.,0.02,1.51,,,.,4.5,
2012-0366,E5,30-Jul-12,0.01,0.03,12:59,7.6,14.42,14.10,6.86,101.8,9.54,.,0.03,2.17,942,.,.,2.5,
,E5,30-Jul-12,0.5,0.49,13:00,7.6,14.35,13.00,6.79,101.8,9.55,.,0.03,2.36,673,.,.,2.5,
2012-0367,E5,30-Jul-12,1,0.98,13:01,7.6,14.26,12.60,6.81,101.5,9.53,.,0.04,3.85,360,.,.,2.5,
,E5,30-Jul-12,2,1.98,13:03,7.6,14.21,12.10,6.78,101.2,9.52,.,0.05,4.54,127,.,.,2.5,
2012-0368,E5,30-Jul-12,3,3.02,13:04,7.6,14.19,11.80,6.76,101.1,9.51,.,0.06,5.64,75,.,.,2.5,
,E5,30-Jul-12,4,4.04,13:05,7.5,13.17,11.90,6.46,94.8,9.12,.,0.06,5.75,28,.,.,2.5,
2012-0369,E5,30-Jul-12,5,5.01,13:07,7.5,8.83,12.20,5.92,66.1,7.04,.,0.06,5.71,20,.,.,2.5,
,E5,30-Jul-12,6,5.98,13:08,7.5,7.43,12.40,5.87,55.1,6.08,.,0.06,5.40,15,.,.,2.5,
,E5,30-Jul-12,7,7,13:10,7.5,6.27,12.60,5.8,43.8,4.97,.,0.04,3.38,6,.,.,2.5,
2012-0370,E5,30-Jul-12,8,8,13:12,7.5,5.99,12.80,5.79,40.3,4.6,.,0.04,3.50,4,.,.,2.5,
,E5,30-Jul-12,9,8.97,13:13,7.5,5.86,12.90,5.78,38.1,4.36,.,0.03,3.07,,.,.,2.5,
2012-0371,E5,30-Jul-12,10,9.98,13:15,7.5,5.82,12.90,5.78,36.4,4.18,.,0.04,3.21,,.,.,2.5,
2012-0372,E6,30-Jul-12,0.01,0.02,15:05,7.5,16.32,15.20,6.8,102.1,9.18,.,0.02,1.80,1138,.,.,2.4,
,E6,30-Jul-12,0.5,0.48,15:08,7.5,16.24,14.00,6.75,101.9,9.18,.,0.03,2.23,314,.,.,2.4,
2012-0373,E6,30-Jul-12,1,0.98,15:09,7.4,16.18,14.20,6.73,101.6,9.16,.,0.03,2.52,113,.,.,2.4,
2012-0374,E6,30-Jul-12,2,1.97,15:10,7.4,15.57,13.40,6.69,99.5,9.09,.,0.04,3.53,48,.,.,2.4,
,Fog 4,30-Jul-12,0,0.04,18:02,7.4,15.85,104.10,7.56,97.4,8.84,.,0.04,3.70,303,.,.,.,
,Fog 4,30-Jul-12,0.5,0.5,18:04,7.4,15.86,98.60,7.56,97.5,8.85,.,0.04,3.63,136,.,.,.,
,Fog 4,30-Jul-12,1,1.02,18:05,7.4,15.84,96.70,7.56,97.3,8.84,.,0.04,3.91,38,.,.,.,
,Fog 4,30-Jul-12,2,1.99,18:07,7.4,15.73,94.70,7.54,96.5,8.79,.,0.05,4.74,56,.,.,.,
,Fog 4,30-Jul-12,3,3,18:08,7.4,15.13,94.00,7.39,89.5,8.25,.,0.05,4.68,45,.,.,.,
,Fog 4,30-Jul-12,4,4,18:11,7.4,14.42,95.30,6.87,52.3,4.9,.,0.11,10.65,42,.,.,.,
2012-2120,E1,31-Jul-12,0,0.1,.,.,14.43,94.30,7.6,102.4,9.58,.,0.02,1.33,202,.,.,4.5,Conductivity reported as 943 uSl. Was misentered and according to fieldbook was 94.3 uS.
,E1,31-Jul-12,0.5,0.5,12:52,7.8,14.45,90.30,7.75,102.1,9.55,.,0.02,1.54,132,.,.,4.5,
2012-2121,E1,31-Jul-12,1,1.03,12:55,7.8,14.45,89.30,7.77,102.2,9.57,.,0.02,1.51,91,.,.,4.5,
,E1,31-Jul-12,2,2.05,12:56,7.8,14.42,87.00,7.75,101.6,9.51,.,0.02,1.76,50,.,.,4.5,
2012-2122,E1,31-Jul-12,3,2.98,12:58,7.7,14.06,85.80,7.59,99.8,9.42,.,0.02,1.94,53,.,.,4.5,
,E1,31-Jul-12,4,4.14,13:00,7.7,13.44,86.10,7.51,98.4,9.41,.,0.02,2.12,40,.,.,4.5,
2012-2123,E1,31-Jul-12,5,5.11,.,.,11.23,97.00,7.02,87.2,8.83,.,0.03,2.78,31,.,.,4.5,Values for this depth not saved to Surveyor. I used values recorded in Field Book.
,E1,31-Jul-12,6,6.04,13:03,7.7,7.01,110.10,6.76,43.2,4.81,.,0.03,3.07,27,.,.,4.5,
,E1,31-Jul-12,7,7.11,13:05,7.7,5.54,118.60,6.68,26.6,3.07,.,0.04,3.40,23,.,.,4.5,
2012-2124,E1,31-Jul-12,8,8.06,13:06,7.7,4.85,122.90,6.66,14.1,1.66,.,0.04,3.34,18,.,.,4.5,
,E1,31-Jul-12,9,9.15,13:07,7.6,4.64,124.70,6.65,10.3,1.22,.,0.03,2.63,15,.,.,4.5,
2012-2125,E1,31-Jul-12,10,10.11,13:08,7.6,4.42,126.70,6.65,5,0.59,.,0.02,1.38,14,.,.,4.5,
,E1,31-Jul-12,11,11.01,13:10,7.6,4.32,127.00,6.65,2.5,0.29,.,0.02,1.27,12,.,.,4.5,
,E1,31-Jul-12,12,12.03,13:13,7.6,4.29,127.70,6.66,1.4,0.17,.,0.01,0.94,11,.,.,4.5,
2012-2100,N1,1-Aug-12,0,0,15:03,7.4,14.62,117.70,8.02,102.3,9.53,.,0.01,0.85,727,.,.,4.15,
,N1,1-Aug-12,0.5,0.5,15:08,7.4,14.65,108.50,8.06,102.3,9.53,.,0.01,0.88,357,.,.,4.15,
2012-2101,N1,1-Aug-12,1,1,15:09,7.3,14.64,107.80,8.07,102.2,9.52,.,0.01,0.91,263,.,.,4.15,
,N1,1-Aug-12,2,1.97,15:11,7.3,14.57,105.90,8.05,102,9.52,.,0.02,1.14,182,.,.,4.15,
2012-2102,N1,1-Aug-12,3,2.98,15:14,7.3,14.35,105.50,8.05,101.6,9.52,.,0.02,1.52,103,.,.,4.15,
,N1,1-Aug-12,4,4,15:16,7.3,14.22,105.40,8.01,101.5,9.55,.,0.02,1.71,69,.,.,4.15,
2012-2103,N1,1-Aug-12,5,4.99,15:17,7.3,11.81,108.80,7.7,107.1,10.64,.,0.04,3.29,34,.,.,4.15,
,N1,1-Aug-12,6,6,15:18,7.3,7.66,118.70,7.43,101.9,11.16,.,0.05,4.45,17,.,.,4.15,
,N1,1-Aug-12,7,7,15:20,7.3,6.32,125.50,7.25,88.4,10.02,.,0.06,5.54,10,.,.,4.15,
2012-2104,N1,1-Aug-12,8,7.97,15:22,7.3,5.33,131.10,7.11,74.4,8.64,.,0.07,7.04,4,.,.,4.15,
,N1,1-Aug-12,9,8.98,15:24,7.3,4.34,137.00,6.92,40.9,4.88,.,0.06,5.99,1,.,.,4.15,
,N1,1-Aug-12,10,10.01,15:26,7.3,3.94,139.60,6.86,22.6,2.72,.,0.04,3.30,,.,.,4.15,
2012-2105,N1,1-Aug-12,11,11.02,15:28,7.3,3.81,141.30,6.85,16.2,1.95,.,0.03,2.73,,.,.,4.15,
,N2,1-Aug-12,0,0.02,13:45,7.5,14.29,171.40,8.03,101.6,9.53,.,0.01,0.89,395,.,.,.,
,N2,1-Aug-12,0.5,0.5,13:47,7.5,14.29,160.20,8.01,101.5,9.53,.,0.01,0.99,314,.,.,.,
,N2,1-Aug-12,1,1.01,13:48,7.5,14.28,158.40,8.02,101.6,9.54,.,0.01,1.10,209,.,.,.,
,N2,1-Aug-12,2,2.01,13:49,7.5,14.14,155.60,8,101,9.52,.,0.02,1.25,115,.,.,.,
,N2,1-Aug-12,3,3.01,13:51,7.5,13.99,154.70,7.91,100.6,9.51,.,0.02,1.40,53,.,.,.,
,N2,1-Aug-12,4,3.99,13:52,7.4,13.24,161.70,7.76,100.7,9.68,.,0.02,1.79,42,.,.,.,
,N2,1-Aug-12,5,5,13:54,7.4,9.06,212.20,7.26,75.1,7.95,.,0.02,2.05,26,.,.,.,
,N2,1-Aug-12,6,6.02,13:55,7.4,7.49,211.50,7.14,50.6,5.57,.,0.03,2.93,19,.,.,.,
,N2,1-Aug-12,7,6.99,13:57,7.4,6.52,212.60,7.07,29.2,3.29,.,0.04,3.78,10,.,.,.,
,N2,1-Aug-12,8,8,13:59,7.4,6.01,215.00,7.05,15.7,1.8,.,0.04,3.37,3,.,.,.,
,N2,1-Aug-12,9,9.01,14:00,7.4,5.73,217.30,7.05,11.3,1.3,.,0.04,3.51,0,.,.,.,
2012-2106,N2 Fert,1-Aug-12,0,0.01,.,.,14.29,171.40,8.03,.,.,.,.,.,.,.,.,5,
2012-2107,N2 Fert,1-Aug-12,1,1,.,.,14.28,158.40,8.02,.,.,.,.,.,.,.,.,5,
2012-2108,N2 Fert,1-Aug-12,3,3,.,.,13.99,154.70,7.91,.,.,.,.,.,.,.,.,5,
2012-2109,N2 Fert,1-Aug-12,5,5,.,.,9.06,212.20,7.26,.,.,.,.,.,.,.,.,5,
2012-2110,N2 Fert,1-Aug-12,8,8,.,.,6.01,215.00,7.05,.,.,.,.,.,.,.,.,5,
2012-2116,NE9B,2-Aug-12,0,0.14,13:49,7.4,14.57,223.10,7.95,99.3,9.26,.,0.01,1.07,360,.,.,>Xm,"X = 5.4, Secchi hit bottom at 5.4 m"
,NE9B,2-Aug-12,0.5,0.52,13:51,7.4,14.57,220.20,7.96,99.5,9.28,.,0.02,1.24,167,.,.,.,.
2012-2117,NE9B,2-Aug-12,1,1.01,13:52,7.4,14.57,211.40,7.97,99.4,9.28,.,0.02,1.25,74,.,.,>Xm,"X = 5.4, Secchi hit bottom at 5.4 m"
,NE9B,2-Aug-12,2,1.98,13:54,7.3,14.54,206.40,7.97,99.3,9.28,.,0.02,1.29,68,.,.,.,.
2012-2118,NE9B,2-Aug-12,3,3.03,13:56,7.3,14.32,205.40,7.9,96.8,9.08,.,0.02,1.19,58,.,.,>Xm,"X = 5.4, Secchi hit bottom at 5.4 m"
,NE9B,2-Aug-12,4,4,13:58,7.3,10.48,308.10,7.23,56.4,5.77,.,0.03,2.08,33,.,.,.,.
2012-2119,NE9B,2-Aug-12,5,4.97,14:00,7.3,7.75,319.90,7.17,0.3,0.03,.,0.00,0.00,20,.,.,>Xm,"X = 5.4, Secchi hit bottom at 5.4 m"
2012-0393,Toolik,3-Aug-12,0,0.03,12:33,7.9,13.55,81.30,7.73,100.1,9.55,.,0.02,1.33,117,.,.,4.5,
,Toolik,3-Aug-12,0.5,0.5,12:34,7.9,13.58,76.90,7.73,100,9.53,.,0.02,1.38,69,.,.,4.5,
2012-0394,Toolik,3-Aug-12,1,1,12:35,7.8,13.59,76.90,7.73,100,9.54,.,0.02,1.47,37,.,.,4.5,
,Toolik,3-Aug-12,2,1.99,12:37,7.8,13.55,72.90,7.73,100,9.54,.,0.02,1.45,16,.,.,4.5,
2012-0395,Toolik,3-Aug-12,3,3.02,12:38,7.8,13.55,72.00,7.73,100.1,9.56,.,0.02,1.51,12,.,.,4.5,
,Toolik,3-Aug-12,4,4.01,12:40,7.8,13.54,71.90,7.72,100,9.54,.,0.02,1.57,12,.,.,4.5,
2012-0396,Toolik,3-Aug-12,5,4.98,12:41,7.7,13.34,71.90,7.62,98.8,9.48,.,0.02,1.62,9,.,.,4.5,
,Toolik,3-Aug-12,6,6,12:42,7.7,13,71.70,7.58,98.1,9.48,.,0.02,1.67,,,.,4.5,
,Toolik,3-Aug-12,7,6.98,12:44,7.7,11.83,71.40,7.42,95.4,9.47,.,0.03,2.94,,,.,4.5,
2012-0397,Toolik,3-Aug-12,8,7.99,12:45,7.7,8.76,71.60,7.15,89.7,9.57,.,0.03,2.37,,,.,4.5,
,Toolik,3-Aug-12,9,9.03,12:46,7.7,7.17,71.50,7.04,83.5,9.26,.,0.03,2.38,,,.,4.5,
,Toolik,3-Aug-12,10,9.97,12:48,7.7,6.41,72.00,6.97,78.6,8.89,.,0.02,1.99,,,.,4.5,
,Toolik,3-Aug-12,11,11.02,12:50,7.6,5.96,72.10,6.94,76,8.69,.,0.02,1.90,,,.,4.5,
2012-0398,Toolik,3-Aug-12,12,12.01,12:50,7.6,5.64,72.40,6.92,74.2,8.55,.,0.02,1.60,,,.,4.5,
,Toolik,3-Aug-12,13,13.01,12:52,7.6,5.54,72.70,6.91,73.5,8.5,.,0.02,1.47,,,.,4.5,
,Toolik,3-Aug-12,14,13.98,12:53,7.6,5.45,72.80,6.9,72.5,8.4,.,0.02,1.60,,,.,4.5,
,Toolik,3-Aug-12,15,15.02,12:54,7.6,5.39,72.60,6.89,71.5,8.3,.,0.02,1.47,,,.,4.5,
2012-0399,Toolik,3-Aug-12,16,16.01,12:57,7.6,5.32,71.80,6.89,71.2,8.28,.,0.02,1.51,,,.,4.5,
,Toolik,3-Aug-12,17,16.98,12:58,7.6,5.29,71.70,6.88,70.7,8.23,.,0.02,1.53,,,.,4.5,
,Toolik,3-Aug-12,18,18,12:59,7.5,5.21,72.10,6.87,69.6,8.11,.,0.02,1.33,,,.,4.5,
,Toolik,3-Aug-12,19,18.98,13:00,7.5,5.17,72.00,6.87,68.8,8.03,.,0.02,1.26,,,.,4.5,
2012-0400,Toolik,3-Aug-12,20,19.98,13:02,7.5,5.17,72.20,6.86,68.3,7.97,.,0.02,1.29,,,.,4.5,
,Toolik,3-Aug-12,21,21.03,13:03,7.5,5.14,71.80,6.85,66.7,7.79,.,0.02,1.45,,,.,4.5,
,I1,7-Aug-12,0,0.01,14:24,7.2,12.27,28.60,7.23,95.2,9.32,.,0.01,0.96,458,.,.,6.15,
,I1,7-Aug-12,0.5,0.51,14:27,7.2,12.27,26.30,7.22,95.3,9.32,.,0.01,1.02,185,.,.,6.15,
2012-2056,I1,7-Aug-12,1,1,14:29,7.2,12.27,26.30,7.21,95.2,9.31,.,0.02,1.19,131,.,.,6.15,
,I1,7-Aug-12,2,2.01,14:31,7.1,12.24,25.30,7.2,95.1,9.3,.,0.02,1.29,84,.,.,6.15,
,I1,7-Aug-12,3,2.99,14:32,7.1,12.22,24.70,7.22,95,9.3,.,0.02,1.34,67,.,.,6.15,
,I1,7-Aug-12,4,3.97,14:34,7.1,12.21,24.70,7.21,94.9,9.3,.,0.02,1.28,45,.,.,6.15,
,I1,7-Aug-12,5,5,14:36,7.1,12.2,24.70,7.2,94.6,9.27,.,0.02,1.35,29,.,.,6.15,
,I1,7-Aug-12,6,6,14:38,7.1,12.15,24.60,7.16,94,9.22,.,0.02,1.46,18,.,.,6.15,
,I1,7-Aug-12,7,6.99,14:41,7.1,11.95,24.70,7.07,92.3,9.09,.,0.02,1.45,14,.,.,6.15,
2012-2057,I1,7-Aug-12,8,7.99,14:42,7.1,10.9,24.70,6.61,73,7.37,.,0.03,2.31,12,.,.,6.15,Metalimnion sample taken from this depth
2012-2058,I1,7-Aug-12,9,9.02,14:45,7.1,8.02,24.90,6.4,62,6.71,.,0.03,3.10,10,.,.,6.15,
,I2,7-Aug-12,0,0.03,12:40,7.4,11.3,24.80,6.89,94.5,9.45,.,0.02,1.29,201,.,.,3.7,
,I2,7-Aug-12,0.5,0.49,12:43,7.3,11.33,23.60,6.92,94.7,9.47,.,0.02,1.47,82,.,.,3.7,
2012-2059,I2,7-Aug-12,1,1,12:45,7.3,11.35,22.90,6.93,94.7,9.46,.,0.02,1.62,48,.,.,3.7,
,I2,7-Aug-12,2,1.99,12:47,7.3,11.36,21.80,6.93,94.7,9.46,.,0.02,1.62,56,.,.,3.7,
,I2,7-Aug-12,3,2.97,12:49,7.3,11.37,21.60,6.93,94.6,9.45,.,0.02,1.62,43,.,.,3.7,
,I2,7-Aug-12,4,3.96,12:50,7.3,11.36,21.50,6.94,94.7,9.45,.,0.02,1.70,32,.,.,3.7,
,I2,7-Aug-12,5,5.02,12:51,7.3,11.27,21.60,6.91,94,9.41,.,0.02,1.60,23,.,.,3.7,
,I2,7-Aug-12,6,5.99,12:53,7.3,10.9,21.50,6.82,92.5,9.34,.,0.02,1.52,18,.,.,3.7,
